Potential(V)	Current(uA)
1.779	15470
1.78	15620
1.781	15760
1.782	15900
1.783	16050
1.784	16190
1.785	16340
1.786	16480
1.787	16630
1.788	16770
1.789	16920
1.79	17060
1.791	17200
1.792	17350
1.793	17500
1.794	17650
1.795	17800
1.796	17940
1.797	18090
1.798	18250
1.799	18410
1.8	18560
1.799	18440
1.798	18320
1.797	18200
1.796	18080
1.795	17970
1.794	17850
1.793	17720
1.792	17600
1.791	17480
1.79	17370
1.789	17260
1.788	17130
1.787	17000
1.786	16870
1.785	16760
1.784	16620
1.783	16500
1.782	16380
1.781	16250
1.78	16130
1.779	16010
1.778	15890
1.777	15760
1.776	15630
1.775	15510
1.774	15380
1.773	15250
1.772	15120
1.771	15000
1.77	14870
1.769	14750
1.768	14620
1.767	14490
1.766	14360
1.765	14240
1.764	14110
1.763	13980
1.762	13840
1.761	13720
1.76	13600
1.759	13470
1.758	13350
1.757	13220
1.756	13100
1.755	12960
1.754	12830
1.753	12700
1.752	12570
1.751	12440
1.75	12300
1.749	12170
1.748	12040
1.747	11900
1.746	11770
1.745	11640
1.744	11500
1.743	11350
1.742	11220
1.741	11090
1.74	10960
1.739	10820
1.738	10690
1.737	10550
1.736	10420
1.735	10280
1.734	10150
1.733	10030
1.732	9898
1.731	9770
1.73	9639
1.729	9506
1.728	9369
1.727	9240
1.726	9105
1.725	8970
1.724	8828
1.723	8694
1.722	8561
1.721	8432
1.72	8302
1.719	8177
1.718	8046
1.717	7921
1.716	7795
1.715	7664
1.714	7535
1.713	7408
1.712	7280
1.711	7164
1.711	7037
1.709	6914
1.708	6793
1.707	6679
1.707	6560
1.706	6439
1.704	6329
1.704	6211
1.703	6096
1.702	5988
1.701	5878
1.7	5774
1.699	5674
1.698	5572
1.697	5474
1.696	5373
1.695	5276
1.694	5177
1.693	5081
1.692	4991
1.691	4903
1.69	4810
1.689	4722
1.688	4637
1.687	4555
1.686	4473
1.685	4394
1.684	4314
1.683	4240
1.682	4163
1.681	4088
1.68	4015
1.679	3943
1.678	3870
1.677	3804
1.676	3735
1.675	3666
1.674	3599
1.673	3532
1.672	3470
1.671	3405
1.67	3347
1.669	3282
1.668	3223
1.667	3163
1.666	3105
1.665	3047
1.664	2990
